timestamp,open,high,low,close,volume,tr,atr,upper_band,lower_band,in_uptrend,supertrend,signal,position,entry_price,exit_price,trade_pnl,capital,cum_pnl,drawdown
2025-04-15 21:00:00,83984.0,84197.9,83838.1,84137.1,3454.315,,,,,True,,0,0,0.0,0.0,0.0,10000.0,0.0,0.0
2025-04-15 22:00:00,84137.1,84137.1,83632.6,83786.9,5980.061,504.5,,,,True,,0,0,0.0,0.0,0.0,10000.0,0.0,0.0
2025-04-15 23:00:00,83786.9,83821.1,83560.0,83608.7,4347.965,261.1000000000058,,,,True,,0,0,0.0,0.0,0.0,10000.0,0.0,0.0
2025-04-16 00:00:00,83608.6,83662.9,83100.0,83105.2,9565.355,562.8999999999942,,,,True,,0,0,0.0,0.0,0.0,10000.0,0.0,0.0
2025-04-16 01:00:00,83105.1,83622.1,83063.9,83590.1,7681.11,558.2000000000116,,,,True,,0,0,0.0,0.0,0.0,10000.0,0.0,0.0
2025-04-16 02:00:00,83590.1,83887.9,83541.3,83861.4,5431.027,346.59999999999127,,,,True,,0,0,0.0,0.0,0.0,10000.0,0.0,0.0
2025-04-16 03:00:00,83861.3,83915.7,83613.4,83654.0,2875.975,302.3000000000029,,,,True,,0,0,0.0,0.0,0.0,10000.0,0.0,0.0
2025-04-16 04:00:00,83653.9,83764.9,83348.4,83552.9,4026.576,416.5,,,,True,,0,0,0.0,0.0,0.0,10000.0,0.0,0.0
2025-04-16 05:00:00,83553.0,83788.5,83165.8,83326.3,7982.8369999999995,622.6999999999971,,,,True,,0,0,0.0,0.0,0.0,10000.0,0.0,0.0
2025-04-16 06:00:00,83326.3,83702.9,83230.0,83604.0,4301.5,472.8999999999942,,,,True,,0,0,0.0,0.0,0.0,10000.0,0.0,0.0
2025-04-16 07:00:00,83604.1,83722.2,83273.1,83325.0,4228.477,449.09999999999127,449.6799999999988,84397.01,82598.29,True,82598.29,0,0,0.0,0.0,0.0,10000.0,0.0,0.0
2025-04-16 08:00:00,83325.0,84089.1,83100.0,83699.9,14590.805,989.1000000000058,498.1399999999994,84590.83,82598.27,True,82598.27,0,0,0.0,0.0,0.0,10000.0,0.0,0.0
2025-04-16 09:00:00,83700.0,83894.0,83548.0,83550.9,4412.866,346.0,506.62999999999886,84734.26,82707.74,True,82707.74,0,0,0.0,0.0,0.0,10000.0,0.0,0.0
2025-04-16 10:00:00,83550.9,83949.7,83525.8,83895.0,4071.311,423.8999999999942,492.7299999999988,84723.20999999999,82752.29000000001,True,82752.29000000001,0,0,0.0,0.0,0.0,10000.0,0.0,0.0
2025-04-16 11:00:00,83895.1,84091.7,83735.0,84008.5,5325.062,356.6999999999971,472.57999999999737,84858.51,82968.19000000002,True,82968.19000000002,0,0,0.0,0.0,0.0,10000.0,0.0,0.0
2025-04-16 12:00:00,84008.4,84229.6,83679.6,83712.3,6451.987,550.0,492.91999999999825,84940.44,82968.76000000001,True,82968.76000000001,0,0,0.0,0.0,0.0,10000.0,0.0,0.0
